event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Vehicle Breakdown,Breakdown,12.919975,77.6200246,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,Bus,2024-02-24 03:58:06,2024-02-24 05:08:30
Vehicle Breakdown,Breakdown,12.9507688,77.6995792,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,LCV,2024-02-24 04:05:56,2024-02-24 05:10:17
Waterlogging,Waterlogging,12.9123815,77.5672185,ORR West 1,West Zone,K.S. Layout Traffic PS,Junction near K.S. Layout Traffic PS,High,False,None,2024-02-24 03:42:01,2024-02-24 07:47:12
Vehicle Breakdown,Breakdown,12.8701487,77.6533914,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,Bus,2024-02-24 05:37:59,2024-02-24 05:56:59
Vehicle Breakdown,Breakdown,12.9823019,77.6333868,Old Madras Road,Whitefield Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,LCV,2024-02-24 07:18:48,2024-02-24 07:24:01
Vehicle Breakdown,Breakdown,12.9531858,77.5418331,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-02-24 08:14:13,2024-02-24 09:31:37
Vehicle Breakdown,Breakdown,12.9610365,77.6383557,Old Airport Road,Central Zone,Halasur Traffic PS,Dr Rajkumar Circle,High,False,Truck,2024-02-24 11:26:32,2024-02-24 12:36:29
Vehicle Breakdown,Breakdown,12.9528091,77.5374448,West of Chord Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Truck,2024-02-24 18:51:56,2024-02-24 19:27:00
Accident,Accident,13.1330567,77.695735,Other Corridor,Central Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,Low,False,None,2024-02-24 19:19:04,2024-02-24 20:11:08
Road Repair,Construction,12.969732,77.7005722,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-24 21:02:00,2024-02-25 10:05:46
Other,Other,12.9747652,77.5770774,Other Corridor,Central Zone,Upparpet Traffic PS,Junction near Upparpet Traffic PS,Low,False,None,2024-02-24 21:20:38,2024-02-24 21:38:19
Other,Other,12.9125622,77.5673106,ORR West 1,West Zone,K.S. Layout Traffic PS,Junction near K.S. Layout Traffic PS,High,False,None,2024-02-25 00:02:34,2024-02-25 00:15:51
Vehicle Breakdown,Breakdown,12.9735163,77.5797975,Other Corridor,Central Zone,Upparpet Traffic PS,Junction near Upparpet Traffic PS,Low,False,Bus,2024-02-24 21:54:43,2024-02-24 22:28:01
Vehicle Breakdown,Breakdown,13.0288936,77.5401833,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Car,2024-02-24 23:01:52,2024-02-25 00:06:26
Vehicle Breakdown,Breakdown,12.9234922,77.61877,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,Truck,2024-02-25 00:45:16,2024-02-25 01:20:29
Other,Other,12.9560396,77.6211669,Other Corridor,Central Zone,Ashok Nagar Traffic PS,Junction near Ashok Nagar Traffic PS,Low,False,None,2024-02-25 01:17:34,2024-02-25 01:49:05
Road Repair,Construction,13.0304134,77.5372098,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Gorguntepalya Junction,Critical,True,None,2024-02-25 00:34:02,2024-02-25 00:40:46
Signal Failure,Congestion,13.0413786,77.621576,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,None,2024-02-25 00:14:15,2024-02-25 02:02:29
Vehicle Breakdown,Breakdown,12.9662158,77.6066903,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Shoolay Circle,High,False,Bus,2024-02-25 03:41:18,2024-02-25 04:38:35
Vehicle Breakdown,Breakdown,12.8906153,77.598287,Bannerghata Road,Central Zone,Mico Layout Traffic PS,Arekere Gate Junction,High,False,Car,2024-02-25 02:16:55,2024-02-25 03:18:39
Vehicle Breakdown,Breakdown,12.8387034,77.677288,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Medium,True,Truck,2024-02-25 03:44:26,2024-02-25 06:08:30
Vehicle Breakdown,Breakdown,12.9670049,77.5880678,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Junction near Halasuru Gate Traffic PS,High,False,Bus,2024-02-25 05:29:33,2024-02-25 05:39:28
Vehicle Breakdown,Breakdown,12.9873679,77.5880617,Bellary Road 1,North Zone,High ground Traffic PS,Dharmaprakash Devarao Shivaram Ubhayaker Circle,High,False,Truck,2024-02-25 04:24:10,2024-02-25 05:59:18
Vehicle Breakdown,Breakdown,13.1405683,77.6175583,Bellary Road 2,North Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,High,False,Other,2024-02-25 05:30:11,2024-02-25 06:06:56
Vehicle Breakdown,Breakdown,12.9661525,77.606514,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Shoolay Circle,High,False,Bus,2024-02-25 05:11:12,2024-02-25 07:26:46
Vehicle Breakdown,Breakdown,13.0429419,77.5510705,ORR North 2,West Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,LCV,2024-02-25 04:37:16,2024-02-25 07:33:03
Vehicle Breakdown,Breakdown,12.9698083,77.5870921,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Police Corner Junction,Critical,True,Truck,2024-02-25 06:12:54,2024-02-25 06:25:56
Vehicle Breakdown,Breakdown,12.9899532,77.5027422,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Other,2024-02-25 06:09:46,2024-02-25 06:39:34
Vehicle Breakdown,Breakdown,12.9982874,77.584033,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,LCV,2024-02-25 07:10:04,2024-02-25 07:33:49
Vehicle Breakdown,Breakdown,13.0187546,77.5575815,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Yeshwanthapura Circle,High,False,Bus,2024-02-25 07:30:22,2024-02-25 08:20:52
Vehicle Breakdown,Breakdown,13.0391447,77.5200292,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,LCV,2024-02-25 07:53:58,2024-02-25 08:23:04
Vehicle Breakdown,Breakdown,12.9832629,77.5970564,CBD 2,Central Zone,Cubbon Park Traffic PS,Queens Road Junction,High,False,Car,2024-02-25 08:58:51,2024-02-25 09:14:13
Vehicle Breakdown,Breakdown,12.8779683,77.6468617,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,Truck,2024-02-25 20:42:40,2024-02-25 22:11:18
Vehicle Breakdown,Breakdown,12.9663203,77.6067507,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Shoolay Circle,High,False,Other,2024-02-25 20:48:42,2024-02-25 22:14:20
Accident,Accident,12.959984,77.5719862,Other Corridor,Central Zone,V.V.Puram (C.Pet) Traffic PS,Tp Kailasam Circle,Low,False,None,2024-02-26 01:09:42,2024-02-26 01:41:31
Vehicle Breakdown,Breakdown,13.0065695,77.5785283,Other Corridor,Central Zone,Sadashivanagar Traffic PS,Bashyam Circle,Low,False,Truck,2024-02-26 00:38:38,2024-02-26 00:55:10
Vehicle Breakdown,Breakdown,12.99965,77.67486,ORR East 2,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,Truck,2024-02-26 20:01:23,2024-02-26 20:06:52
Vehicle Breakdown,Breakdown,13.04013,77.5187098,Tumkur Road,West Zone,Peenya Traffic PS,Jalahalli Cross Junction,High,False,Bus,2024-03-17 23:09:56,2024-03-18 00:21:11
Vehicle Breakdown,Breakdown,12.9169884,77.5864023,Other Corridor,Central Zone,Jayanagara Traffic PS,Sri Aurobindo Circle,Low,False,Car,2024-03-17 23:30:38,2024-03-18 00:37:04
Road Repair,Construction,12.9693524,77.7006637,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-26 20:56:28,2024-02-27 10:05:46
Other,Other,12.9780361,77.5844453,Other Corridor,Central Zone,Upparpet Traffic PS,Junction near Upparpet Traffic PS,Medium,True,None,2024-02-26 23:54:12,2024-02-27 00:11:58
Other,Other,12.9169501,77.5883272,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Low,False,None,2024-03-18 02:17:44,2024-03-18 03:18:12
Vehicle Breakdown,Breakdown,12.9611979,77.558602,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,Critical,True,Bus,2024-02-27 02:09:49,2024-02-27 04:01:52
Vehicle Breakdown,Breakdown,12.9170026,77.5888015,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Low,False,Other,2024-03-18 02:22:52,2024-03-18 03:18:14
Vehicle Breakdown,Breakdown,13.0189656,77.5838671,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,High,False,LCV,2024-02-27 02:59:28,2024-02-27 05:25:51
Vehicle Breakdown,Breakdown,12.8925839,77.5999375,Bannerghata Road,Central Zone,Mico Layout Traffic PS,Junction near Mico Layout Traffic PS,High,False,Truck,2024-03-18 03:22:00,2024-03-18 04:48:17
Vehicle Breakdown,Breakdown,12.9689732,77.5875001,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Police Corner Junction,High,False,Car,2024-02-27 05:57:16,2024-02-27 07:47:16
Signal Failure,Congestion,13.041398,77.6223102,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,None,2024-02-27 05:53:39,2024-02-27 07:49:25
Vehicle Breakdown,Breakdown,12.997975,77.553098,West of Chord Road,Central Zone,Rajajinagar Traffic PS,Harikara Vidvan Sri R Gururajulu Naidu Circle,High,False,Bus,2024-02-27 08:07:32,2024-02-27 08:51:05
Vehicle Breakdown,Breakdown,13.0389423,77.5198575,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Bus,2024-03-18 09:31:05,2024-03-18 09:39:04
Protest,Procession,12.9603835,77.5627726,Mysore Road,Central Zone,Chamarajpet Traffic PS,Sirsi Circle,High,False,None,2024-03-18 07:44:34,2024-03-18 09:44:46
Vehicle Breakdown,Breakdown,13.0074068,77.6894547,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Low,False,Other,2024-02-27 08:11:35,2024-02-27 08:20:22
Accident,Accident,12.9556017,77.5456522,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,Critical,True,None,2024-02-27 10:48:41,2024-02-27 11:27:43
Vehicle Breakdown,Breakdown,13.0353033,77.52756,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Truck,2024-02-27 11:15:10,2024-02-27 11:25:01
Vehicle Breakdown,Breakdown,13.0829633,77.59313,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Truck,2024-02-27 12:47:10,2024-02-27 14:32:54
Vehicle Breakdown,Breakdown,12.935647,77.6933481,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Truck,2024-02-27 17:39:47,2024-02-27 19:02:00
Accident,Accident,13.0091574,77.6622936,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,None,2024-02-27 20:34:22,2024-02-27 21:15:45
Road Repair,Construction,13.1173777,77.5777874,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2024-02-27 21:27:20,2024-02-28 20:29:01
Accident,Accident,12.9433634,77.5778127,Other Corridor,Central Zone,Basavanagudi Traffic PS,Madhav Rao Circle,Low,False,None,2024-02-27 21:07:10,2024-02-27 21:50:50
Road Repair,Construction,12.9694819,77.7006441,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-27 20:53:27,2024-02-28 10:05:46
Accident,Accident,12.9434044,77.5778786,Other Corridor,Central Zone,Basavanagudi Traffic PS,Madhav Rao Circle,Low,False,None,2024-02-27 21:09:13,2024-02-27 21:51:03
Vehicle Breakdown,Breakdown,13.0193245,77.5529483,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Bus,2024-02-27 23:27:51,2024-02-27 23:50:05
Road Repair,Construction,12.9255592,77.6087154,Other Corridor,Central Zone,Mico Layout Traffic PS,Junction near Mico Layout Traffic PS,Low,False,None,2024-02-27 20:38:24,2024-02-27 20:52:46
Road Repair,Construction,12.9695714,77.700534,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-03-18 21:02:33,2024-03-19 10:05:46
Waterlogging,Waterlogging,12.9959395,77.5959461,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,None,2024-03-18 21:31:29,2024-03-18 23:34:48
Other,Other,13.025746,77.5210641,Other Corridor,West Zone,Peenya Traffic PS,Sbm Circle,Low,False,None,2024-02-27 23:56:50,2024-02-28 00:12:39
Vehicle Breakdown,Breakdown,12.9665342,77.5050712,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,LCV,2024-02-28 03:38:08,2024-02-28 03:45:35
Accident,Accident,13.0036663,77.6171413,Airport New South Road,Central Zone,Pulikeshinagar(F.Town) Traffic PS,Junction near Pulikeshinagar(F.Town) Traffic PS,High,False,None,2024-02-28 01:51:14,2024-02-28 03:00:02
Vehicle Breakdown,Breakdown,12.9378809,77.5211092,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-02-28 04:20:36,2024-02-28 06:12:13
Vehicle Breakdown,Breakdown,12.9680089,77.6004777,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Cash Pharmacy Junction,High,False,Car,2024-02-28 05:38:59,2024-02-28 07:44:38
Vehicle Breakdown,Breakdown,12.9982847,77.6722483,Other Corridor,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,Low,False,Bus,2024-03-19 00:47:14,2024-03-19 01:25:44
Vehicle Breakdown,Breakdown,12.93753,77.6274494,IRR(Thanisandra road),Central Zone,Adugodi Traffic PS,Sony World Junction,High,False,Other,2024-03-19 00:50:58,2024-03-19 02:22:16
Vehicle Breakdown,Breakdown,12.9723745,77.5866446,Other Corridor,Central Zone,Halasuru Gate Traffic PS,Junction near Halasuru Gate Traffic PS,Low,False,Bus,2024-02-28 06:14:08,2024-02-28 06:33:46
Vehicle Breakdown,Breakdown,13.1036169,77.6005732,Bellary Road 2,North Zone,Yelahanka Traffic PS,Kogilu Cross Junction,High,False,Bus,2024-03-19 02:18:17,2024-03-19 03:17:52
Vehicle Breakdown,Breakdown,13.0292785,77.5396722,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Car,2024-02-28 07:49:07,2024-02-28 08:01:30
Vehicle Breakdown,Breakdown,12.8570928,77.5889739,Bannerghata Road,Central Zone,Hulimavu Traffic PS,Junction near Hulimavu Traffic PS,High,False,Bus,2024-02-28 08:49:25,2024-02-28 09:06:25
Vehicle Breakdown,Breakdown,12.9875536,77.4751319,Other Corridor,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Low,False,Bus,2024-03-19 03:47:02,2024-03-19 04:00:19
Vehicle Breakdown,Breakdown,13.1340883,77.616595,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,Bus,2024-02-28 18:34:07,2024-02-28 18:59:25
Vehicle Breakdown,Breakdown,13.0466837,77.5019219,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,Other,2024-02-28 20:26:16,2024-02-28 20:52:04
Road Repair,Construction,12.9696034,77.7005489,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-28 20:51:52,2024-02-29 10:05:46
Vehicle Breakdown,Breakdown,12.92115128,77.62051642,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,Bus,2024-02-28 21:02:33,2024-02-28 21:15:11
Vehicle Breakdown,Breakdown,13.0160987,77.562282,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,LCV,2024-02-28 21:19:45,2024-02-28 21:36:25
Road Repair,Construction,13.1188317,77.577265,Other Corridor,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,Low,False,None,2024-02-28 20:48:35,2024-02-29 18:40:17
Vehicle Breakdown,Breakdown,13.0567366,77.5467281,Other Corridor,West Zone,Jalahalli Traffic PS,Gangamma Circle,Low,False,LCV,2024-03-19 04:35:13,2024-03-19 04:41:49
Vehicle Breakdown,Breakdown,12.9520767,77.540499,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-02-28 21:28:43,2024-02-28 22:14:41
Vehicle Breakdown,Breakdown,12.9884265,77.6894444,ORR East 2,Whitefield Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,High,False,Bus,2024-02-28 22:19:47,2024-02-28 23:01:59
Vehicle Breakdown,Breakdown,12.9939612,77.5957973,Other Corridor,Central Zone,High ground Traffic PS,Cantt Circle,Low,False,Bus,2024-02-28 22:30:18,2024-02-28 23:24:58
Vehicle Breakdown,Breakdown,13.0264,77.544019,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Sri Vijayamaruthi Circle,High,False,Bus,2024-02-28 22:43:12,2024-02-28 23:50:50
Other,Other,12.9999193,77.583985,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Md Nanjundaswamy Circle,High,False,None,2024-03-19 05:37:53,2024-03-19 07:40:51
Vehicle Breakdown,Breakdown,12.9594917,77.6529369,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,LCV,2024-03-19 05:56:07,2024-03-19 07:49:24
Vehicle Breakdown,Breakdown,13.0188053,77.553156,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Bus,2024-02-28 23:36:34,2024-02-29 00:43:04
Vehicle Breakdown,Breakdown,12.9667558,77.5875476,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Halsuru Gate Police Station Junction,High,False,Other,2024-02-29 00:45:28,2024-02-29 02:04:37
Accident,Accident,13.1067566,77.6006731,Bellary Road 2,North Zone,Yelahanka Traffic PS,Junction near Yelahanka Traffic PS,High,False,None,2024-02-29 02:06:37,2024-02-29 02:29:16
Vehicle Breakdown,Breakdown,12.9235986,77.5803287,Other Corridor,Central Zone,Jayanagara Traffic PS,Shri Satya Sai Circle,Low,False,Bus,2024-02-29 02:03:06,2024-02-29 03:38:41
Vehicle Breakdown,Breakdown,12.9169898,77.5968145,Bannerghata Road,Central Zone,Jayanagara Traffic PS,Dr Br Ambedkar Circle,High,False,Car,2024-03-19 06:46:28,2024-03-19 07:22:15
Vehicle Breakdown,Breakdown,13.021709,77.5519174,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,LCV,2024-03-19 06:05:44,2024-03-19 07:30:12
Vehicle Breakdown,Breakdown,12.9255742,77.6174592,Hosur Road,South-East Zone,Madiwala Traffic PS,Madiwala Junction,High,False,Bus,2024-02-29 05:11:39,2024-02-29 05:25:54
Vehicle Breakdown,Breakdown,12.9844596,77.6412874,Old Madras Road,Whitefield Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,Other,2024-02-29 04:53:58,2024-02-29 05:27:31
Vehicle Breakdown,Breakdown,12.95566159,77.72065301,Varthur Road,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,Bus,2024-02-29 05:29:36,2024-02-29 06:00:12
Vehicle Breakdown,Breakdown,12.9225247,77.6194594,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,Bus,2024-02-29 05:35:54,2024-02-29 06:35:22
Vehicle Breakdown,Breakdown,12.92108,77.5734531,Other Corridor,Central Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,Low,False,Bus,2024-02-29 06:25:19,2024-02-29 06:53:45
Vehicle Breakdown,Breakdown,13.0141472,77.5704446,Other Corridor,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,Low,False,Bus,2024-02-29 07:31:41,2024-02-29 08:17:43
Vehicle Breakdown,Breakdown,13.0288605,77.54001,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Truck,2024-03-19 10:41:29,2024-03-19 12:26:39
Road Repair,Construction,12.9567539,77.7013119,Varthur Road,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,Critical,True,None,2024-03-19 11:38:52,2024-03-19 17:01:46
Vehicle Breakdown,Breakdown,12.9575137,77.5522652,Mysore Road,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,High,False,Truck,2024-03-19 19:23:09,2024-03-19 21:00:22
Vehicle Breakdown,Breakdown,13.147734,77.6187076,Bellary Road 2,North Zone,Chikkajala Traffic PS,Junction near Chikkajala Traffic PS,High,False,Other,2024-02-29 08:22:56,2024-02-29 08:58:12
Vehicle Breakdown,Breakdown,12.9541423,77.5436141,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Bengaluru Body Builders Junction,High,False,Bus,2024-02-29 09:15:54,2024-02-29 09:40:40
Vehicle Breakdown,Breakdown,12.9480623,77.5985345,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,Bus,2024-02-29 08:10:07,2024-02-29 09:54:05
Vehicle Breakdown,Breakdown,13.01898142,77.65531138,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,Truck,2024-03-19 19:42:05,2024-03-19 20:58:49
Vehicle Breakdown,Breakdown,13.0360276,77.5892476,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,Bus,2024-03-19 19:25:44,2024-03-19 19:51:42
Vehicle Breakdown,Breakdown,13.0289783,77.540115,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Truck,2024-02-29 10:36:49,2024-02-29 11:23:57
Vehicle Breakdown,Breakdown,13.2572966,77.7126622,Other Corridor,Central Zone,Devanahalli Airport Traffic PS,Sri Kanakadasa Circle,Low,False,Truck,2024-02-29 19:36:21,2024-02-29 20:17:47
Accident,Accident,13.0251258,77.5852107,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,None,2024-02-29 20:08:23,2024-02-29 21:00:49
Vehicle Breakdown,Breakdown,12.9255403,77.6175176,Hosur Road,South-East Zone,Madiwala Traffic PS,Madiwala Junction,High,False,Other,2024-03-19 20:00:06,2024-03-19 20:21:41
Road Repair,Construction,12.9695804,77.7005848,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-03-19 20:23:29,2024-03-20 10:05:46
Vehicle Breakdown,Breakdown,12.9826166,77.569553,Other Corridor,Central Zone,Sheshadripuram Traffic PS,Platform Road Junction,Low,False,Bus,2024-03-19 20:50:26,2024-03-19 23:19:46
Vehicle Breakdown,Breakdown,12.9047523,77.5857161,ORR West 1,West Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,High,False,Bus,2024-02-29 20:14:38,2024-02-29 20:35:49
Vehicle Breakdown,Breakdown,12.9765795,77.611037,Old Madras Road,Whitefield Zone,Shivajinagar Traffic PS,Mayo Hall Junction,High,False,Bus,2024-02-29 20:45:21,2024-02-29 21:49:35
Protest,Procession,13.0162183,77.7092396,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Medium,True,None,2024-03-19 21:57:13,2024-03-19 21:57:46
Vehicle Breakdown,Breakdown,12.9389553,77.6945893,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2024-03-19 22:37:55,2024-03-19 22:48:04
Vehicle Breakdown,Breakdown,12.9383509,77.6945235,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2024-03-19 22:46:18,2024-03-20 01:12:22
Vehicle Breakdown,Breakdown,12.9887505,77.4724214,Other Corridor,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,Low,False,Bus,2024-03-01 00:47:32,2024-03-01 02:00:53
Vehicle Breakdown,Breakdown,12.8399445,77.6769171,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,Bus,2024-03-19 23:34:02,2024-03-20 00:30:30
Vehicle Breakdown,Breakdown,12.9684836,77.5874438,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Police Corner Junction,High,False,Bus,2024-03-20 01:35:40,2024-03-20 02:38:56
Vehicle Breakdown,Breakdown,12.916946,77.5871065,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Low,False,Bus,2024-03-01 04:12:54,2024-03-01 06:04:30
Other,Other,12.9559471,77.7290451,Varthur Road,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,High,False,None,2024-03-01 05:23:06,2024-03-01 07:02:14
Vehicle Breakdown,Breakdown,13.0622879,77.6333968,Hennur Main Road,Central Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,High,False,Truck,2024-03-01 05:33:45,2024-03-01 06:20:07
Other,Tree Fall,12.9250715,77.6375839,Other Corridor,Central Zone,Adugodi Traffic PS,Junction near Adugodi Traffic PS,Low,False,None,2024-03-20 03:59:55,2024-03-20 04:16:21
Vehicle Breakdown,Breakdown,12.9879187,77.5741471,Other Corridor,Central Zone,Sheshadripuram Traffic PS,Seshadripuram Police Station Junction,Low,False,Bus,2024-03-01 07:56:56,2024-03-01 08:45:11
Vehicle Breakdown,Breakdown,13.0469513,77.5010307,Other Corridor,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,Low,False,LCV,2024-03-01 07:55:45,2024-03-01 08:18:51
Vehicle Breakdown,Breakdown,12.9775143,77.608447,Old Madras Road,Whitefield Zone,Shivajinagar Traffic PS,Tyagi Henagalavarayan Junction,High,False,Car,2024-03-01 09:08:00,2024-03-01 09:18:42
Vehicle Breakdown,Breakdown,13.08313,77.5938833,Bellary Road 2,North Zone,Yelahanka Traffic PS,Yelahanka Bypass Junction,High,False,Car,2024-03-01 10:27:14,2024-03-01 11:29:00
Vehicle Breakdown,Breakdown,12.9250539,77.6180915,Hosur Road,South-East Zone,Madiwala Traffic PS,Madiwala Junction,High,False,Car,2024-03-01 19:53:46,2024-03-01 21:23:45
